t_s,v_mps,w_radps,x_m,y_m,theta_deg
0,0.157075,0.800277777777778,0,0,0
1,0.17815,0.672222222222222,0.157075,0,45.852539104775
2,0.224175,0.448611111111111,0.281157796318919,0.127831459968498,84.3680353330137
3,0.2704,0.306666666666667,0.303157907273475,0.350924323464817,110.071558642355
4,0.3027,0.242222222222222,0.210358387507463,0.604901505769049,127.6422643597
5,0.314175,-4.13972222222222,0.0254905884188158,0.844591277891516,141.520575397313
6,0.3027,-4.12111111111111,-0.220455547305448,1.04008150513396,-95.6680362925383
7,0.2704,0.306666666666667,-0.250351598003338,0.738861459066853,-331.790309863674
8,0.224175,0.448611111111111,-0.0120687583534245,0.866679487249006,-314.219604146329
9,0.17815,0.672222222222222,0.144273208640507,1.02733943864159,-288.516080836988
10,0.157075,0.800277777777778,0.200848447335636,1.19626742586274,-250.000584608749
11,0.17815,0.672222222222222,0.147127139362281,1.34387019241755,-204.148045503974
12,0.224175,0.448611111111111,-0.0154332124399389,1.41675060488852,-165.632549275735
13,0.2704,0.306666666666667,-0.232596978709094,1.36112390945552,-139.929025966394
14,0.3027,0.242222222222222,-0.439519933786408,1.18705768452353,-122.358320249049
15,0.314175,0.223611111111111,-0.601528741750558,0.931361700702834,-108.480009211436
16,0.3027,0.242222222222222,-0.701113973476243,0.633387352398921,-95.6680362925383
17,0.2704,0.306666666666667,-0.731010024174133,0.332167306331815,-81.7897252549251
18,0.224175,0.448611111111111,-0.692395166547731,0.0645387339212954,-64.2190195375798
19,0.17815,0.672222222222222,-0.594894238060926,-0.137322603558696,-38.5154962282387
20,0.157075,0.800277777777778,-0.455502594318961,-0.248261290025199,-4.45277655404892e-14
21,NaN,NaN,-0.298427594318961,-0.248261290025199,45.852539104775
